Start conv=19, red footprints found: 1
d=1: frontier=12, visited=59, red_footprints=1 (+0), t=0s, mem=0MB
d=95: frontier=12, visited=41393, red_footprints=1 (+0), t=3s, mem=20MB
d=96: frontier=12, visited=41850, red_footprints=1 (+0), t=3s, mem=20MB
d=97: frontier=12, visited=42279, red_footprints=1 (+0), t=3s, mem=20MB
d=98: frontier=12, visited=42704, red_footprints=1 (+0), t=3s, mem=20MB
d=99: frontier=12, visited=43190, red_footprints=1 (+0), t=3s, mem=21MB
d=100: frontier=12, visited=43678, red_footprints=1 (+0), t=3s, mem=21MB
d=101: frontier=12, visited=44102, red_footprints=1 (+0), t=3s, mem=21MB
d=102: frontier=12, visited=44496, red_footprints=1 (+0), t=3s, mem=21MB
d=103: frontier=12, visited=44888, red_footprints=1 (+0), t=3s, mem=21MB
d=104: frontier=12, visited=45305, red_footprints=1 (+0), t=3s, mem=22MB
d=105: frontier=12, visited=45757, red_footprints=1 (+0), t=3s, mem=22MB
d=106: frontier=12, visited=46118, red_footprints=1 (+0), t=3s, mem=22MB
d=107: frontier=12, visited=46537, red_footprints=1 (+0), t=3s, mem=22MB
d=108: frontier=12, visited=46907, red_footprints=1 (+0), t=3s, mem=22MB
d=109: frontier=12, visited=47299, red_footprints=1 (+0), t=3s, mem=23MB
d=110: frontier=12, visited=47637, red_footprints=1 (+0), t=3s, mem=23MB
d=111: frontier=12, visited=47930, red_footprints=1 (+0), t=3s, mem=23MB
d=112: frontier=12, visited=48272, red_footprints=1 (+0), t=3s, mem=23MB
d=113: frontier=12, visited=48616, red_footprints=1 (+0), t=3s, mem=23MB
d=114: frontier=12, visited=48896, red_footprints=1 (+0), t=3s, mem=23MB
d=115: frontier=12, visited=49183, red_footprints=1 (+0), t=3s, mem=23MB
d=116: frontier=12, visited=49493, red_footprints=1 (+0), t=3s, mem=24MB
d=117: frontier=12, visited=49872, red_footprints=1 (+0), t=3s, mem=24MB
d=118: frontier=12, visited=50261, red_footprints=1 (+0), t=3s, mem=24MB
d=119: frontier=12, visited=50613, red_footprints=1 (+0), t=3s, mem=24MB
d=120: frontier=12, visited=50937, red_footprints=1 (+0), t=4s, mem=24MB
d=121: frontier=12, visited=51397, red_footprints=1 (+0), t=4s, mem=25MB
d=122: frontier=12, visited=51814, red_footprints=1 (+0), t=4s, mem=25MB
d=123: frontier=12, visited=52215, red_footprints=1 (+0), t=4s, mem=25MB
d=124: frontier=12, visited=52665, red_footprints=1 (+0), t=4s, mem=25MB
d=125: frontier=12, visited=53117, red_footprints=1 (+0), t=4s, mem=25MB
d=126: frontier=12, visited=53505, red_footprints=1 (+0), t=4s, mem=26MB
d=127: frontier=12, visited=53898, red_footprints=1 (+0), t=4s, mem=26MB
d=128: frontier=12, visited=54263, red_footprints=1 (+0), t=4s, mem=26MB
d=129: frontier=12, visited=54689, red_footprints=1 (+0), t=4s, mem=26MB
d=130: frontier=12, visited=55117, red_footprints=1 (+0), t=4s, mem=26MB
d=131: frontier=12, visited=55506, red_footprints=1 (+0), t=4s, mem=26MB
d=132: frontier=12, visited=55872, red_footprints=1 (+0), t=4s, mem=27MB
d=133: frontier=12, visited=56219, red_footprints=1 (+0), t=4s, mem=27MB
d=134: frontier=12, visited=56576, red_footprints=1 (+0), t=4s, mem=27MB
d=135: frontier=12, visited=56978, red_footprints=1 (+0), t=4s, mem=27MB
d=136: frontier=12, visited=57382, red_footprints=1 (+0), t=4s, mem=27MB
d=137: frontier=12, visited=57722, red_footprints=1 (+0), t=4s, mem=28MB
d=138: frontier=12, visited=58070, red_footprints=1 (+0), t=4s, mem=28MB
d=139: frontier=12, visited=58424, red_footprints=1 (+0), t=4s, mem=28MB
d=140: frontier=12, visited=58829, red_footprints=1 (+0), t=4s, mem=28MB
d=141: frontier=12, visited=59224, red_footprints=1 (+0), t=4s, mem=28MB
d=142: frontier=12, visited=59589, red_footprints=1 (+0), t=4s, mem=28MB
d=143: frontier=12, visited=59950, red_footprints=1 (+0), t=4s, mem=29MB
d=144: frontier=12, visited=60305, red_footprints=1 (+0), t=4s, mem=29MB
d=145: frontier=12, visited=60658, red_footprints=1 (+0), t=4s, mem=29MB
d=146: frontier=12, visited=61060, red_footprints=1 (+0), t=4s, mem=29MB
d=147: frontier=12, visited=61464, red_footprints=1 (+0), t=4s, mem=29MB
d=148: frontier=12, visited=61798, red_footprints=1 (+0), t=4s, mem=29MB
d=149: frontier=12, visited=62137, red_footprints=1 (+0), t=4s, mem=30MB
d=150: frontier=12, visited=62496, red_footprints=1 (+0), t=4s, mem=30MB
d=151: frontier=12, visited=62917, red_footprints=1 (+0), t=4s, mem=30MB
d=152: frontier=12, visited=63334, red_footprints=1 (+0), t=4s, mem=30MB
d=153: frontier=12, visited=63685, red_footprints=1 (+0), t=4s, mem=30MB
d=154: frontier=12, visited=64094, red_footprints=1 (+0), t=4s, mem=31MB
d=155: frontier=12, visited=64457, red_footprints=1 (+0), t=4s, mem=31MB
d=156: frontier=12, visited=64832, red_footprints=1 (+0), t=4s, mem=31MB
d=157: frontier=12, visited=65209, red_footprints=1 (+0), t=5s, mem=31MB
d=158: frontier=12, visited=65635, red_footprints=1 (+0), t=5s, mem=31MB
d=159: frontier=12, visited=66063, red_footprints=1 (+0), t=5s, mem=32MB
d=160: frontier=12, visited=66427, red_footprints=1 (+0), t=5s, mem=32MB
d=161: frontier=12, visited=66804, red_footprints=1 (+0), t=5s, mem=32MB
d=162: frontier=12, visited=67170, red_footprints=1 (+0), t=5s, mem=32MB
d=163: frontier=12, visited=67582, red_footprints=1 (+0), t=5s, mem=32MB
d=164: frontier=12, visited=67994, red_footprints=1 (+0), t=5s, mem=32MB
d=165: frontier=12, visited=68370, red_footprints=1 (+0), t=5s, mem=33MB
d=166: frontier=12, visited=68813, red_footprints=1 (+0), t=5s, mem=33MB
d=167: frontier=12, visited=69198, red_footprints=1 (+0), t=5s, mem=33MB
d=168: frontier=12, visited=69562, red_footprints=1 (+0), t=5s, mem=33MB
d=169: frontier=12, visited=69951, red_footprints=1 (+0), t=5s, mem=33MB
d=170: frontier=12, visited=70334, red_footprints=1 (+0), t=5s, mem=34MB
d=171: frontier=12, visited=70724, red_footprints=1 (+0), t=5s, mem=34MB
d=172: frontier=12, visited=71107, red_footprints=1 (+0), t=5s, mem=34MB
d=173: frontier=12, visited=71426, red_footprints=1 (+0), t=5s, mem=34MB
d=174: frontier=12, visited=71744, red_footprints=1 (+0), t=5s, mem=34MB
d=175: frontier=12, visited=72072, red_footprints=1 (+0), t=5s, mem=34MB
d=176: frontier=12, visited=72466, red_footprints=1 (+0), t=5s, mem=35MB
d=177: frontier=12, visited=72860, red_footprints=1 (+0), t=5s, mem=35MB
d=178: frontier=12, visited=73227, red_footprints=1 (+0), t=5s, mem=35MB
d=179: frontier=12, visited=73638, red_footprints=1 (+0), t=5s, mem=35MB
d=180: frontier=12, visited=73986, red_footprints=1 (+0), t=5s, mem=35MB
d=181: frontier=12, visited=74340, red_footprints=1 (+0), t=5s, mem=35MB
d=182: frontier=12, visited=74719, red_footprints=1 (+0), t=5s, mem=36MB
d=183: frontier=12, visited=75124, red_footprints=1 (+0), t=5s, mem=36MB
d=184: frontier=12, visited=75546, red_footprints=1 (+0), t=5s, mem=36MB
d=185: frontier=12, visited=75990, red_footprints=1 (+0), t=5s, mem=36MB
d=186: frontier=12, visited=76427, red_footprints=1 (+0), t=5s, mem=36MB
d=187: frontier=12, visited=76830, red_footprints=1 (+0), t=5s, mem=37MB
d=188: frontier=12, visited=77245, red_footprints=1 (+0), t=5s, mem=37MB
d=189: frontier=12, visited=77656, red_footprints=1 (+0), t=5s, mem=37MB
d=190: frontier=12, visited=78121, red_footprints=1 (+0), t=5s, mem=37MB
d=191: frontier=12, visited=78593, red_footprints=1 (+0), t=5s, mem=37MB
d=192: frontier=12, visited=79045, red_footprints=1 (+0), t=5s, mem=38MB
d=193: frontier=12, visited=79552, red_footprints=1 (+0), t=5s, mem=38MB
d=194: frontier=12, visited=80052, red_footprints=1 (+0), t=6s, mem=38MB
d=195: frontier=12, visited=80506, red_footprints=1 (+0), t=6s, mem=38MB
d=196: frontier=12, visited=80916, red_footprints=1 (+0), t=6s, mem=39MB
d=197: frontier=12, visited=81354, red_footprints=1 (+0), t=6s, mem=39MB
d=198: frontier=12, visited=81797, red_footprints=1 (+0), t=6s, mem=39MB
d=199: frontier=12, visited=82176, red_footprints=1 (+0), t=6s, mem=39MB
d=200: frontier=12, visited=82548, red_footprints=1 (+0), t=6s, mem=39MB
d=201: frontier=12, visited=82915, red_footprints=1 (+0), t=6s, mem=40MB
d=202: frontier=12, visited=83332, red_footprints=1 (+0), t=6s, mem=40MB
d=203: frontier=12, visited=83752, red_footprints=1 (+0), t=6s, mem=40MB
d=204: frontier=12, visited=84126, red_footprints=1 (+0), t=6s, mem=40MB
d=205: frontier=12, visited=84474, red_footprints=1 (+0), t=6s, mem=40MB
d=206: frontier=12, visited=84846, red_footprints=1 (+0), t=6s, mem=40MB
d=207: frontier=12, visited=85215, red_footprints=1 (+0), t=6s, mem=41MB
d=208: frontier=12, visited=85619, red_footprints=1 (+0), t=6s, mem=41MB
d=209: frontier=12, visited=86029, red_footprints=1 (+0), t=6s, mem=41MB
d=210: frontier=12, visited=86461, red_footprints=1 (+0), t=6s, mem=41MB
d=211: frontier=12, visited=86898, red_footprints=1 (+0), t=6s, mem=41MB
d=212: frontier=12, visited=87301, red_footprints=1 (+0), t=6s, mem=42MB
d=213: frontier=12, visited=87716, red_footprints=1 (+0), t=6s, mem=42MB
d=214: frontier=12, visited=88127, red_footprints=1 (+0), t=6s, mem=42MB
d=215: frontier=12, visited=88592, red_footprints=1 (+0), t=6s, mem=42MB
d=216: frontier=12, visited=89061, red_footprints=1 (+0), t=6s, mem=42MB
d=217: frontier=12, visited=89495, red_footprints=1 (+0), t=6s, mem=43MB
d=218: frontier=12, visited=90024, red_footprints=1 (+0), t=6s, mem=43MB
d=219: frontier=12, visited=90531, red_footprints=1 (+0), t=6s, mem=43MB
d=220: frontier=12, visited=90992, red_footprints=1 (+0), t=6s, mem=43MB
d=221: frontier=12, visited=91426, red_footprints=1 (+0), t=6s, mem=44MB
d=222: frontier=12, visited=91888, red_footprints=1 (+0), t=6s, mem=44MB
d=223: frontier=12, visited=92355, red_footprints=1 (+0), t=6s, mem=44MB
d=224: frontier=12, visited=92758, red_footprints=1 (+0), t=6s, mem=44MB
d=225: frontier=12, visited=93150, red_footprints=1 (+0), t=7s, mem=44MB
d=226: frontier=12, visited=93540, red_footprints=1 (+0), t=7s, mem=45MB
d=227: frontier=12, visited=93957, red_footprints=1 (+0), t=7s, mem=45MB
d=228: frontier=12, visited=94391, red_footprints=1 (+0), t=7s, mem=45MB
d=229: frontier=12, visited=94779, red_footprints=1 (+0), t=7s, mem=45MB
d=230: frontier=12, visited=95198, red_footprints=1 (+0), t=7s, mem=45MB
d=231: frontier=12, visited=95603, red_footprints=1 (+0), t=7s, mem=46MB
d=232: frontier=12, visited=96050, red_footprints=1 (+0), t=7s, mem=46MB
d=233: frontier=12, visited=96525, red_footprints=1 (+0), t=7s, mem=46MB
d=234: frontier=12, visited=97013, red_footprints=1 (+0), t=7s, mem=46MB
d=235: frontier=12, visited=97512, red_footprints=1 (+0), t=7s, mem=46MB
d=236: frontier=12, visited=97999, red_footprints=1 (+0), t=7s, mem=47MB
d=237: frontier=12, visited=98519, red_footprints=1 (+0), t=7s, mem=47MB
d=238: frontier=12, visited=99006, red_footprints=1 (+0), t=7s, mem=47MB
d=239: frontier=12, visited=99511, red_footprints=1 (+0), t=7s, mem=47MB
d=240: frontier=12, visited=99990, red_footprints=1 (+0), t=7s, mem=48MB
d=241: frontier=12, visited=100517, red_footprints=1 (+0), t=7s, mem=48MB
d=242: frontier=12, visited=101047, red_footprints=1 (+0), t=7s, mem=48MB
d=243: frontier=12, visited=101528, red_footprints=1 (+0), t=7s, mem=48MB
d=244: frontier=12, visited=101939, red_footprints=1 (+0), t=7s, mem=49MB
d=245: frontier=12, visited=102272, red_footprints=1 (+0), t=7s, mem=49MB
d=246: frontier=12, visited=102554, red_footprints=1 (+0), t=7s, mem=49MB
d=247: frontier=12, visited=102884, red_footprints=1 (+0), t=7s, mem=49MB
d=248: frontier=12, visited=103210, red_footprints=1 (+0), t=7s, mem=49MB
d=249: frontier=12, visited=103498, red_footprints=1 (+0), t=7s, mem=49MB
d=250: frontier=12, visited=103771, red_footprints=1 (+0), t=7s, mem=49MB
d=251: frontier=12, visited=104068, red_footprints=1 (+0), t=7s, mem=50MB
d=252: frontier=12, visited=104424, red_footprints=1 (+0), t=7s, mem=50MB
d=253: frontier=12, visited=104783, red_footprints=1 (+0), t=7s, mem=50MB
d=254: frontier=12, visited=105133, red_footprints=1 (+0), t=7s, mem=50MB
d=255: frontier=12, visited=105568, red_footprints=1 (+0), t=7s, mem=50MB
d=256: frontier=12, visited=106006, red_footprints=1 (+0), t=7s, mem=51MB
d=257: frontier=12, visited=106483, red_footprints=1 (+0), t=7s, mem=51MB
d=258: frontier=12, visited=106957, red_footprints=1 (+0), t=7s, mem=51MB
d=259: frontier=12, visited=107496, red_footprints=1 (+0), t=8s, mem=51MB
d=260: frontier=12, visited=108054, red_footprints=1 (+0), t=8s, mem=52MB
d=261: frontier=12, visited=108617, red_footprints=1 (+0), t=8s, mem=52MB
d=262: frontier=12, visited=109116, red_footprints=1 (+0), t=8s, mem=52MB
d=263: frontier=12, visited=109607, red_footprints=1 (+0), t=8s, mem=52MB
d=264: frontier=12, visited=110103, red_footprints=1 (+0), t=8s, mem=53MB
d=265: frontier=12, visited=110628, red_footprints=1 (+0), t=8s, mem=53MB
d=266: frontier=12, visited=111170, red_footprints=1 (+0), t=8s, mem=53MB
d=267: frontier=12, visited=111653, red_footprints=1 (+0), t=8s, mem=53MB
d=268: frontier=12, visited=112139, red_footprints=1 (+0), t=8s, mem=53MB
d=269: frontier=12, visited=112588, red_footprints=1 (+0), t=8s, mem=54MB
d=270: frontier=12, visited=113024, red_footprints=1 (+0), t=8s, mem=54MB
d=271: frontier=12, visited=113446, red_footprints=1 (+0), t=8s, mem=54MB
d=272: frontier=12, visited=113884, red_footprints=1 (+0), t=8s, mem=54MB
d=273: frontier=12, visited=114327, red_footprints=1 (+0), t=8s, mem=55MB
d=274: frontier=12, visited=114706, red_footprints=1 (+0), t=8s, mem=55MB
d=275: frontier=12, visited=115078, red_footprints=1 (+0), t=8s, mem=55MB
d=276: frontier=12, visited=115445, red_footprints=1 (+0), t=8s, mem=55MB
d=277: frontier=12, visited=115859, red_footprints=1 (+0), t=8s, mem=55MB
d=278: frontier=12, visited=116276, red_footprints=1 (+0), t=8s, mem=55MB
d=279: frontier=12, visited=116633, red_footprints=1 (+0), t=8s, mem=56MB
d=280: frontier=12, visited=116960, red_footprints=1 (+0), t=8s, mem=56MB
d=281: frontier=12, visited=117225, red_footprints=1 (+0), t=8s, mem=56MB
d=282: frontier=12, visited=117534, red_footprints=1 (+0), t=8s, mem=56MB
d=283: frontier=12, visited=117864, red_footprints=1 (+0), t=8s, mem=56MB
d=284: frontier=12, visited=118199, red_footprints=1 (+0), t=8s, mem=56MB
d=285: frontier=12, visited=118470, red_footprints=1 (+0), t=8s, mem=56MB
d=286: frontier=12, visited=118746, red_footprints=1 (+0), t=8s, mem=57MB
d=287: frontier=12, visited=119053, red_footprints=1 (+0), t=8s, mem=57MB
d=288: frontier=12, visited=119402, red_footprints=1 (+0), t=8s, mem=57MB
d=289: frontier=12, visited=119739, red_footprints=1 (+0), t=8s, mem=57MB
d=290: frontier=12, visited=120097, red_footprints=1 (+0), t=8s, mem=57MB
d=291: frontier=12, visited=120523, red_footprints=1 (+0), t=8s, mem=57MB
d=292: frontier=12, visited=120902, red_footprints=1 (+0), t=8s, mem=58MB
d=293: frontier=12, visited=121308, red_footprints=1 (+0), t=9s, mem=58MB
d=294: frontier=12, visited=121693, red_footprints=1 (+0), t=9s, mem=58MB
d=295: frontier=12, visited=122107, red_footprints=1 (+0), t=9s, mem=58MB
d=296: frontier=12, visited=122526, red_footprints=1 (+0), t=9s, mem=58MB
d=297: frontier=12, visited=122880, red_footprints=1 (+0), t=9s, mem=59MB
d=298: frontier=12, visited=123224, red_footprints=1 (+0), t=9s, mem=59MB
d=299: frontier=12, visited=123569, red_footprints=1 (+0), t=9s, mem=59MB
d=300: frontier=12, visited=123948, red_footprints=1 (+0), t=9s, mem=59MB
d=301: frontier=12, visited=124357, red_footprints=1 (+0), t=9s, mem=59MB
d=302: frontier=12, visited=124746, red_footprints=1 (+0), t=9s, mem=59MB
d=303: frontier=12, visited=125150, red_footprints=1 (+0), t=9s, mem=60MB
d=304: frontier=12, visited=125500, red_footprints=1 (+0), t=9s, mem=60MB
d=305: frontier=12, visited=125841, red_footprints=1 (+0), t=9s, mem=60MB
d=306: frontier=12, visited=126199, red_footprints=1 (+0), t=9s, mem=60MB
d=307: frontier=12, visited=126699, red_footprints=1 (+0), t=9s, mem=60MB
d=308: frontier=12, visited=127221, red_footprints=1 (+0), t=9s, mem=61MB
d=309: frontier=12, visited=127738, red_footprints=1 (+0), t=9s, mem=61MB
d=310: frontier=12, visited=128167, red_footprints=1 (+0), t=9s, mem=61MB
d=311: frontier=12, visited=128600, red_footprints=1 (+0), t=9s, mem=61MB
d=312: frontier=12, visited=129011, red_footprints=1 (+0), t=9s, mem=62MB
d=313: frontier=12, visited=129471, red_footprints=1 (+0), t=9s, mem=62MB
d=314: frontier=12, visited=129929, red_footprints=1 (+0), t=9s, mem=62MB
d=315: frontier=12, visited=130346, red_footprints=1 (+0), t=9s, mem=62MB
d=316: frontier=12, visited=130847, red_footprints=1 (+0), t=9s, mem=62MB
d=317: frontier=12, visited=131309, red_footprints=1 (+0), t=9s, mem=63MB
d=318: frontier=12, visited=131752, red_footprints=1 (+0), t=9s, mem=63MB
d=319: frontier=12, visited=132289, red_footprints=1 (+0), t=9s, mem=63MB
d=320: frontier=12, visited=132711, red_footprints=1 (+0), t=9s, mem=63MB
d=321: frontier=12, visited=133149, red_footprints=1 (+0), t=9s, mem=63MB
d=322: frontier=12, visited=133592, red_footprints=1 (+0), t=9s, mem=64MB
d=323: frontier=12, visited=133971, red_footprints=1 (+0), t=9s, mem=64MB
d=324: frontier=12, visited=134343, red_footprints=1 (+0), t=9s, mem=64MB
d=325: frontier=12, visited=134710, red_footprints=1 (+0), t=9s, mem=64MB
d=326: frontier=12, visited=135127, red_footprints=1 (+0), t=9s, mem=64MB
d=327: frontier=12, visited=135547, red_footprints=1 (+0), t=10s, mem=65MB
d=328: frontier=12, visited=135916, red_footprints=1 (+0), t=10s, mem=65MB
d=329: frontier=12, visited=136264, red_footprints=1 (+0), t=10s, mem=65MB
d=330: frontier=12, visited=136566, red_footprints=1 (+0), t=10s, mem=65MB
d=331: frontier=12, visited=136952, red_footprints=1 (+0), t=10s, mem=65MB
d=332: frontier=12, visited=137302, red_footprints=1 (+0), t=10s, mem=65MB
d=333: frontier=12, visited=137699, red_footprints=1 (+0), t=10s, mem=66MB
d=334: frontier=12, visited=138101, red_footprints=1 (+0), t=10s, mem=66MB
d=335: frontier=12, visited=138384, red_footprints=1 (+0), t=10s, mem=66MB
d=336: frontier=12, visited=138679, red_footprints=1 (+0), t=10s, mem=66MB
d=337: frontier=12, visited=138990, red_footprints=1 (+0), t=10s, mem=66MB
d=338: frontier=12, visited=139360, red_footprints=1 (+0), t=10s, mem=66MB
d=339: frontier=12, visited=139742, red_footprints=1 (+0), t=10s, mem=67MB
d=340: frontier=12, visited=140114, red_footprints=1 (+0), t=10s, mem=67MB
d=341: frontier=12, visited=140529, red_footprints=1 (+0), t=10s, mem=67MB
d=342: frontier=12, visited=140964, red_footprints=1 (+0), t=10s, mem=67MB
d=343: frontier=12, visited=141392, red_footprints=1 (+0), t=10s, mem=67MB
d=344: frontier=12, visited=141802, red_footprints=1 (+0), t=10s, mem=68MB
d=345: frontier=12, visited=142240, red_footprints=1 (+0), t=10s, mem=68MB
d=346: frontier=12, visited=142683, red_footprints=1 (+0), t=10s, mem=68MB
d=347: frontier=12, visited=143062, red_footprints=1 (+0), t=10s, mem=68MB
d=348: frontier=12, visited=143434, red_footprints=1 (+0), t=10s, mem=68MB
